TABLE dtl(l,i,j,cl)
					r	s	pmax	current	can	cost
l471	.	i114	.	i136	0.01	29.48	10000	1	0	0
l472	.	i114	.	i140	0.01	9.79	10000	1	0	0
l473	.	i116	.	i150	0.01	10.89	10000	1	0	0
l474	.	i116	.	i126	0.01	9.79	10000	1	0	0
l475	.	i116	.	i147	0.01	7.78	10000	1	0	0
l476	.	i117	.	i178	0.01	19.3	10000	1	0	0
l477	.	i117	.	i142	0.01	17.9	10000	1	0	0
l478	.	i122	.	i156	0.01	37.57	10000	1	0	0
l479	.	i122	.	i192	0.01	24.58	10000	1	0	0
l480	.	i123	.	i173	0.01	38.26	10000	1	0	0
l481	.	i123	.	i174	0.01	38.26	10000	1	0	0
l482	.	i124	.	i173	0.01	46.97	10000	1	0	0
l483	.	i124	.	i174	0.01	46.88	10000	1	0	0
l484	.	i124	.	i164	0.01	23.7	10000	1	0	0
l485	.	i126	.	i152	0.01	228.83	10000	1	0	0
l486	.	i126	.	i150	0.01	7.32	10000	1	0	0
l487	.	i126	.	i177	0.01	7.65	10000	1	0	0
l488	.	i126	.	i128	0.01	45.41	10000	1	0	0
l489	.	i126	.	i145	0.01	14.91	10000	1	0	0
l490	.	i126	.	i141	0.01	47.57	10000	1	0	0
l491	.	i126	.	i158	0.01	8.22	10000	1	0	0
l492	.	i126	.	i159	0.01	7.66	10000	1	0	0
l493	.	i126	.	i147	0.01	4.48	10000	1	0	0
l494	.	i127	.	i145	0.01	5.22	10000	1	0	0
l495	.	i127	.	i158	0.01	5.97	10000	1	0	0
l496	.	i127	.	i159	0.01	5.55	10000	1	0	0
l497	.	i128	.	i152	0.01	4.43	10000	1	0	0
l498	.	i128	.	i145	0.01	140.45	10000	1	0	0
l499	.	i128	.	i141	0.01	11.3	10000	1	0	0
l500	.	i128	.	i158	0.01	6.07	10000	1	0	0
l501	.	i128	.	i159	0.01	5.67	10000	1	0	0
l502	.	i129	.	i155	0.01	7.49	10000	1	0	0
l503	.	i129	.	i143	0.01	8.85	10000	1	0	0
l504	.	i129	.	i144	0.01	10.09	10000	1	0	0
l505	.	i133	.	i198	0.01	17.72	10000	1	0	0
l506	.	i133	.	i161	0.01	56.59	10000	1	0	0
l507	.	i133	.	i195	0.01	33.2	10000	1	0	0
l508	.	i135	.	i151	0.01	11.34	10000	1	0	0
l509	.	i135	.	i161	0.01	39.64	10000	1	0	0
l510	.	i136	.	i181	0.01	12.72	10000	1	0	0
l511	.	i136	.	i160	0.01	37.09	10000	1	0	0
l512	.	i136	.	i185	0.01	20.05	10000	1	0	0
l513	.	i136	.	i140	0.01	19.71	10000	1	0	0
l514	.	i138	.	i154	0.01	8.72	10000	1	0	0
l515	.	i138	.	i148	0.01	4.43	10000	1	0	0
l516	.	i139	.	i155	0.01	56.82	10000	1	0	0
l517	.	i139	.	i164	0.01	13.7	10000	1	0	0
l518	.	i140	.	i185	0.01	1265.82	10000	1	0	0
l519	.	i140	.	i181	0.01	4.22	10000	1	0	0
l520	.	i140	.	i160	0.01	12.32	10000	1	0	0
l521	.	i141	.	i145	0.01	4.56	10000	1	0	0
l522	.	i142	.	i178	0.01	27.53	10000	1	0	0
l523	.	i142	.	i189	0.01	26.57	10000	1	0	0
l524	.	i142	.	i180	0.01	11.1	10000	1	0	0
l525	.	i142	.	i162	0.01	13.09	10000	1	0	0
l526	.	i142	.	i148	0.01	43.71	10000	1	0	0
l527	.	i143	.	i193	0.01	4.4	10000	1	0	0
l528	.	i143	.	i191	0.01	6.97	10000	1	0	0
l529	.	i143	.	i144	0.01	35.1	10000	1	0	0
l530	.	i144	.	i157	0.01	91.58	10000	1	0	0
l531	.	i144	.	i179	0.01	82.24	10000	1	0	0
l532	.	i144	.	i193	0.01	5.44	10000	1	0	0
l533	.	i144	.	i191	0.01	9.36	10000	1	0	0
l534	.	i145	.	i158	0.01	21.41	10000	1	0	0
l535	.	i145	.	i159	0.01	19.58	10000	1	0	0
l536	.	i147	.	i150	0.01	29.78	10000	1	0	0
l537	.	i148	.	i180	0.01	23.11	10000	1	0	0
l538	.	i148	.	i163	0.01	12.74	10000	1	0	0
l539	.	i148	.	i154	0.01	5.02	10000	1	0	0
l540	.	i149	.	i163	0.01	5.76	10000	1	0	0
l541	.	i153	.	i192	0.01	100.7	10000	1	0	0
l542	.	i155	.	i164	0.01	11.35	10000	1	0	0
l543	.	i156	.	i192	0.01	35.73	10000	1	0	0
l544	.	i156	.	i164	0.01	26.06	10000	1	0	0
l545	.	i157	.	i179	0.01	28.28	10000	1	0	0
l546	.	i158	.	i159	0.01	29.01	10000	1	0	0
l547	.	i160	.	i181	0.01	9.99	10000	1	0	0
l548	.	i160	.	i185	0.01	15.07	10000	1	0	0
l549	.	i162	.	i178	0.01	4.49	10000	1	0	0
l550	.	i163	.	i180	0.01	5.62	10000	1	0	0
l551	.	i164	.	i192	0.01	5.03	10000	1	0	0
l552	.	i165	.	i173	0.01	4.41	10000	1	0	0
l553	.	i165	.	i174	0.01	4.41	10000	1	0	0
l554	.	i173	.	i192	0.01	9.25	10000	1	0	0
l555	.	i173	.	i174	0.01	1612.9	10000	1	0	0
l556	.	i174	.	i192	0.01	6.37	10000	1	0	0
l557	.	i178	.	i179	0.01	38.48	10000	1	0	0
l558	.	i178	.	i180	0.01	19.46	10000	1	0	0
l559	.	i181	.	i185	0.01	5.56	10000	1	0	0
l560	.	i182	.	i192	0.01	10.8	10000	1	0	0
l561	.	i183	.	i189	0.01	5.31	10000	1	0	0
l562	.	i190	.	i196	0.01	15.54	10000	1	0	0
l563	.	i199	.	i200	0.01	6.08	10000	1	0	0
l564	.	i199	.	i202	0.01	13.03	10000	1	0	0
l565	.	i200	.	i202	0.01	9.94	10000	1	0	0
l566	.	i204	.	i216	0.01	5.45	10000	1	0	0
l567	.	i205	.	i219	0.01	14.69	10000	1	0	0
l568	.	i205	.	i214	0.01	18.22	10000	1	0	0
l569	.	i205	.	i216	0.01	7.78	10000	1	0	0
l570	.	i205	.	i217	0.01	20.69	10000	1	0	0
l571	.	i205	.	i212	0.01	16.08	10000	1	0	0
l572	.	i206	.	i209	0.01	13.44	10000	1	0	0
l573	.	i206	.	i210	0.01	4.77	10000	1	0	0
l574	.	i206	.	i279	0.01	37.61	10000	1	0	0
l575	.	i208	.	i209	0.01	164.74	10000	1	0	0
l576	.	i209	.	i258	0.01	5.86	10000	1	0	0
l577	.	i209	.	i210	0.01	4.97	10000	1	0	0
l578	.	i209	.	i279	0.01	27.5	10000	1	0	0
l579	.	i210	.	i279	0.01	9.75	10000	1	0	0
l580	.	i211	.	i268	0.01	7.39	10000	1	0	0
l581	.	i212	.	i220	0.01	14.03	10000	1	0	0
l582	.	i212	.	i221	0.01	11.05	10000	1	0	0
l583	.	i214	.	i219	0.01	4.22	10000	1	0	0
l584	.	i216	.	i217	0.01	39.75	10000	1	0	0
l585	.	i217	.	i218	0.01	131.58	10000	1	0	0
l586	.	i222	.	i226	0.01	7	10000	1	0	0
l587	.	i222	.	i225	0.01	10.05	10000	1	0	0
l588	.	i227	.	i236	0.01	94.88	10000	1	0	0
l589	.	i229	.	i236	0.01	20.21	10000	1	0	0
l590	.	i230	.	i231	0.01	81.83	10000	1	0	0
l591	.	i232	.	i234	0.01	8.14	10000	1	0	0
l592	.	i236	.	i241	0.01	8.13	10000	1	0	0
l593	.	i243	.	i248	0.01	13.47	10000	1	0	0
l594	.	i244	.	i251	0.01	4.37	10000	1	0	0
l595	.	i244	.	i253	0.01	4.79	10000	1	0	0
l596	.	i245	.	i246	0.01	4.16	10000	1	0	0
l597	.	i246	.	i257	0.01	24.5	10000	1	0	0
l598	.	i246	.	i247	0.01	6.27	10000	1	0	0
l599	.	i247	.	i257	0.01	23.76	10000	1	0	0
l600	.	i249	.	i250	0.01	19.06	10000	1	0	0
l601	.	i251	.	i253	0.01	13.61	10000	1	0	0
l602	.	i260	.	i275	0.01	52.94	10000	1	0	0
l603	.	i260	.	i289	0.01	4.59	10000	1	0	0
l604	.	i261	.	i275	0.01	5.22	10000	1	0	0
l605	.	i261	.	i287	0.01	4.38	10000	1	0	0
l606	.	i262	.	i267	0.01	10.16	10000	1	0	0
l607	.	i263	.	i297	0.01	5.61	10000	1	0	0
l608	.	i263	.	i284	0.01	11.71	10000	1	0	0
l609	.	i264	.	i284	0.01	20.89	10000	1	0	0
l610	.	i264	.	i265	0.01	5.36	10000	1	0	0
l611	.	i265	.	i294	0.01	6.37	10000	1	0	0
l612	.	i266	.	i282	0.01	38.49	10000	1	0	0
l613	.	i270	.	i275	0.01	7.28	10000	1	0	0
l614	.	i270	.	i273	0.01	4.46	10000	1	0	0
l615	.	i270	.	i287	0.01	6.3	10000	1	0	0
l616	.	i275	.	i287	0.01	53.82	10000	1	0	0
l617	.	i281	.	i288	0.01	79.68	10000	1	0	0
l618	.	i290	.	i292	0.01	11.63	10000	1	0	0
l619	.	i291	.	i298	0.01	6	10000	1	0	0
l620	.	i291	.	i300	0.01	9.07	10000	1	0	0
l621	.	i294	.	i296	0.01	43.99	10000	1	0	0
l622	.	i294	.	i295	0.01	10.1	10000	1	0	0
l623	.	i295	.	i296	0.01	21.47	10000	1	0	0
l624	.	i300	.	i303	0.01	8.76	10000	1	0	0
l625	.	i302	.	i310	0.01	26.34	10000	1	0	0
l626	.	i6	.	i10	0.01	1.17	10000	1	0	0
l627	.	i293	.	i305	0.01	1.92	10000	1	0	0
l628	.	i293	.	i295	0.01	2.92	10000	1	0	0
l629	.	i201	.	i240	0.01	3.91	10000	1	0	0
l630	.	i137	.	i143	0.01	2.45	10000	1	0	0
l631	.	i137	.	i144	0.01	3.29	10000	1	0	0
l632	.	i109	.	i198	0.01	1.92	10000	1	0	0
l633	.	i109	.	i133	0.01	1.78	10000	1	0	0
l634	.	i109	.	i195	0.01	1.87	10000	1	0	0
l635	.	i229	.	i241	0.01	3.66	10000	1	0	0
l636	.	i229	.	i272	0.01	1.45	10000	1	0	0
l637	.	i236	.	i272	0.01	1.96	10000	1	0	0
l638	.	i242	.	i272	0.01	2.11	10000	1	0	0
l639	.	i291	.	i301	0.01	3.49	10000	1	0	0
l640	.	i301	.	i309	0.01	3.88	10000	1	0	0
l641	.	i301	.	i307	0.01	3.62	10000	1	0	0
l642	.	i269	.	i275	0.01	3.64	10000	1	0	0
l643	.	i273	.	i275	0.01	4.07	10000	1	0	0
l644	.	i273	.	i287	0.01	3.52	10000	1	0	0
l645	.	i211	.	i260	0.01	3.15	10000	1	0	0
l646	.	i211	.	i277	0.01	3.51	10000	1	0	0
l647	.	i154	.	i180	0.01	2.75	10000	1	0	0
l648	.	i154	.	i163	0.01	3.4	10000	1	0	0
l649	.	i141	.	i152	0.01	3.25	10000	1	0	0
l650	.	i141	.	i158	0.01	2.5	10000	1	0	0
l651	.	i141	.	i159	0.01	2.33	10000	1	0	0
l652	.	i142	.	i183	0.01	3.44	10000	1	0	0
l653	.	i104	.	i163	0.01	2.53	10000	1	0	0
l654	.	i252	.	i273	0.01	1.78	10000	1	0	0
l655	.	i273	.	i302	0.01	8.24	774	0	1	323.09
l656	.	i81	.	i247	0.01	9.6	804	0	1	293.80
l657	.	i10	.	i293	0.01	11.96	718	0	1	241.96
l658	.	i239	.	i240	0.01	14.79	1082	0	1	219.80
l659	.	i143	.	i154	0.01	16.96	1518	0	1	541.22
l660	.	i259	.	i274	0.01	17.78	884	0	1	186.67
l661	.	i226	.	i258	0.01	18.47	638	0	1	170.66
l662	.	i5	.	i7	0.01	20.02	1434	0	1	622.79
l663	.	i8	.	i22	0.01	21.06	1878	0	1	528.61
l664	.	i295	.	i300	0.01	21.57	1434	0	1	481.45
l665	.	i135	.	i237	0.01	22.39	956	0	1	147.92
l666	.	i234	.	i236	0.01	24.23	956	0	1	160.27
l667	.	i282	.	i284	0.01	24.29	1776	0	1	169.29
l668	.	i225	.	i241	0.01	25.36	956	0	1	22.72
l669	.	i15	.	i14	0.01	32.96	1374	0	1	516.68
l670	.	i264	.	i267	0.01	37.6	654	0	1	108.32
l671	.	i15	.	i5	0.01	38.61	2008	0	1	480.14
l672	.	i299	.	i261	0.01	38.8	1792	0	1	315.30
l673	.	i269	.	i15	0.01	39.14	2052	0	1	313.68
l674	.	i255	.	i252	0.01	41.02	718	0	1	332.42
l675	.	i222	.	i130	0.01	46.22	956	0	1	81.53
l676	.	i260	.	i279	0.01	48.31	2662	0	1	254.29
l677	.	i217	.	i250	0.01	51.95	2151	0	1	446.92
l678	.	i23	.	i278	0.01	59.17	600	0	1	297.15
l679	.	i11	.	i12	0.01	62.89	3136	0	1	807.90
l680	.	i211	.	i210	0.01	64.31	1912	0	1	518.40
l681	.	i65	.	i66	0.01	72.73	3290	0	1	775.68
l682	.	i214	.	i184	0.01	73.5	6235	0	1	508.22
l683	.	i201	.	i202	0.01	77.01	6000	0	1	596.46
l684	.	i223	.	i227	0.01	77.94	6305	0	1	596.76
l685	.	i306	.	i309	0.01	85.54	1290	0	1	129.40
l686	.	i50	.	i73	0.01	89.21	1994	0	1	52.50
l687	.	i114	.	i142	0.01	95.19	8366	0	1	441.03
l688	.	i17	.	i74	0.01	99.45	4676	0	1	458.41
l689	.	i294	.	i296	0.01	104.83	640	0	1	181.15
l690	.	i97	.	i98	0.01	107.83	7268	0	1	382.85
l691	.	i206	.	i204	0.01	108.11	2091	0	1	87.97
l692	.	i110	.	i125	0.01	110.13	7898	0	1	364.59
l693	.	i60	.	i68	0.01	110.5	1824	0	1	56.63
l694	.	i207	.	i218	0.01	119.98	6236	0	1	292.76
l695	.	i40	.	i18	0.01	129.87	3811	0	1	949.81
l696	.	i106	.	i157	0.01	131.93	7534	0	1	322.43
l697	.	i185	.	i96	0.01	162.6	4676	0	1	602.34
l698	.	i19	.	i54	0.01	178.73	5158	0	1	224.70
l699	.	i58	.	i57	0.01	207.02	3810	0	1	344.19
l700	.	i152	.	i156	0.01	218.34	5456	0	1	333.35
l701	.	i144	.	i155	0.01	223.21	5577	0	1	155.10
l702	.	i99	.	i94	0.01	239.23	4157	0	1	335.59
l703	.	i133	.	i139	0.01	271.74	7067	0	1	143.18
l704	.	i127	.	i199	0.01	418.41	5196	0	1	114.14
l705	.	i59	.	i49	0.01	554.02	1592	0	1	40.39
;
